"country","code","worldbank_income_group_2017_2018","income","id","u55_32_max_heat","u55_013_min_cold","l5_32_max_heat","l5_013_min_cold","hightmp_all","lowtmp_all"
"Afghanistan","AFG","Low income",1,1,0.39,-0.539,0.386,-0.521,-8.704,-77.675
"Algeria","DZA","Upper middle income",1,2,0.84,-0.109,0.762,-0.094,-15.36,-13.638
"Angola","AGO","Lower middle income",1,3,2.604,0,2.492,0,10.302,-53.929
"Antigua and Barbuda","ATG","High income",0,4,-2.363,0,-2.225,0,-19.346,-1.92
"Argentina","ARG","High income",0,5,0.573,-0.29,0.551,-0.284,-2.043,4.791
"Armenia","ARM","Upper middle income",1,6,0.908,-0.613,0.874,-0.584,0.917,-77.906
"Australia","AUS","High income",0,7,2.473,0.093,2.433,0.098,2.02,-8.827
"Austria","AUT","High income",0,8,1.013,-2.126,1.042,-2.096,0.043,-35.631
"Azerbaijan","AZE","Upper middle income",1,9,0.227,-0.778,0.335,-0.758,0.075,-41.687
"Bahamas","BHS","High income",0,10,1.22,-0.001,1.207,-0.001,-3.307,-24.152
"Bahrain","BHR","High income",0,11,0.468,0.04,0.451,0.039,-43.134,-80.322
"Bangladesh","BGD","Lower middle income",1,12,0.407,0,0.413,0,-22.895,-15.851
"Barbados","BRB","High income",0,13,-2.152,0,-2.21,0,-13.178,1.978
"Belgium","BEL","High income",0,14,0.946,-1.91,0.936,-1.831,0.095,-50.68
"Belize","BLZ","Upper middle income",1,15,2.588,0,2.369,0,-3.965,-7.842
"Benin","BEN","Low income",1,16,0.272,0,0.303,0,-25.518,-2.268
"Bhutan","BTN","Lower middle income",1,17,0.396,0.032,0.357,0.065,0.038,-12.038
"Bolivia (Plurinational State of)","BOL","Lower middle income",1,18,-0.164,-0.175,-0.205,-0.133,-7.509,-20.116
"Bosnia and Herzegovina","BIH","Upper middle income",1,19,0.609,-1.498,0.591,-1.464,-0.249,-39.44
"Botswana","BWA","Upper middle income",1,20,3.079,-0.238,2.399,-0.185,34.29,-62.369
"Brazil","BRA","Upper middle income",1,21,2.851,-0.004,2.307,-0.002,4.296,-25.973
"Brunei Darussalam","BRN","High income",0,22,1.403,0,1.346,0,19.759,-2.372
"Burkina Faso","BFA","Low income",1,23,0.391,0,0.31,0,-8.337,-4.93
"Burundi","BDI","Low income",1,24,0.947,0,0.76,0,-0.492,-40.907
"Cabo Verde","CPV","Lower middle income",1,25,-1.417,0,-1.344,0,0.098,46.155
"Cambodia","KHM","Lower middle income",1,26,-0.164,0,-0.096,0,7.069,-10.653
"Cameroon","CMR","Lower middle income",1,27,1.13,0,1.027,0,-12.485,-21.698
"Canada","CAN","High income",0,28,0.082,1.517,0.088,1.381,-0.024,-9.315
"Central African Republic","CAF","Low income",1,29,0.571,0,0.425,0,50.866,-23.334
"Chad","TCD","Low income",1,30,0.163,0.012,0.213,0.01,-39.429,-3.491
"Chile","CHL","High income",0,31,1.713,-0.295,1.893,-0.33,0.001,-49.166
"China","CHN","Upper middle income",1,32,1.24,-1.105,1.162,-0.898,-1.13,-137.581
"Colombia","COL","Upper middle income",1,33,1.194,0,1.585,0,6.598,-24.829
"Congo","COG","Lower middle income",1,34,0.88,0,0.775,0,3.719,-13.793
"Costa Rica","CRI","Upper middle income",1,35,3.009,0,2.828,0,1.302,-5.939
"Cote d'Ivoire","CIV","Lower middle income",1,36,0.361,0,0.311,0,-9.482,-5.435
"Croatia","HRV","High income",0,37,1.677,-1.538,1.641,-1.487,-0.7,-77.187
"Cuba","CUB","Upper middle income",1,38,4.202,0,4.158,0,2.759,-21.058
"Cyprus","CYP","High income",0,39,0.966,-0.043,0.857,-0.037,-1.596,-60.055
"Czech Republic","CZE","High income",0,40,0.793,-2.437,0.792,-2.434,0.282,-61.17
"Democratic People's Republic of Korea","PRK","Low income",1,41,1.061,-2.316,1.036,-2.257,2.898,-150.299
"Democratic Republic of the Congo","COD","Low income",1,42,0.523,0,0.518,0,6.983,-37.347
"Denmark","DNK","High income",0,43,0.159,-3.28,0.175,-3.356,0.01,-66.063
"Djibouti","DJI","Lower middle income",1,44,0.633,0,0.855,0,20.181,-58.69
"Dominican Republic","DOM","Upper middle income",1,45,1.851,0,1.521,0,3.456,-1.574
"Ecuador","ECU","Upper middle income",1,46,1.208,0,1.153,0,-1.117,-23.968
"Egypt","EGY","Lower middle income",1,47,0.608,-0.001,0.615,-0.001,4.894,13.003
"El Salvador","SLV","Lower middle income",1,48,2.014,0,2.169,0,26.707,-1.968
"Equatorial Guinea","GNQ","Upper middle income",1,49,2.787,0,2.405,0,1.929,-16.683
"Eritrea","ERI","Low income",1,50,0.855,0,1.312,0,14.022,-34.239
"Estonia","EST","High income",0,51,-0.58,-1.715,-0.578,-1.697,-0.162,-43.022
"Eswatini","SWZ","Lower middle income",1,52,1.793,-0.102,1.558,-0.082,1.419,-100.881
"Ethiopia","ETH","Low income",1,53,0.495,0.001,0.588,0,6.345,-39.548
"Fiji","FJI","Upper middle income",1,54,-0.203,0,-0.263,0,1.815,-16.348
"Finland","FIN","High income",0,55,-0.113,-1.489,-0.1,-1.454,0.012,-19.249
"France","FRA","High income",0,56,1.69,-1.621,1.65,-1.608,0.22,-26.366
"Gabon","GAB","Upper middle income",1,57,1.694,0,1.405,0,-1.758,-17.558
"Gambia","GMB","Low income",1,58,-0.768,0,-0.863,0,1.631,10.416
"Georgia","GEO","Lower middle income",1,59,0.785,-1.727,-1.727,-1.75,-0.12,-72.276
"Germany","DEU","High income",0,60,1.248,-2.259,1.26,-2.206,0.249,-31.139
"Ghana","GHA","Lower middle income",1,61,0.829,0,0.606,0,12.993,-6.694
"Grenada","GRD","Upper middle income",1,62,-1.986,0,-3.056,0,-17.415,2.419
"Guatemala","GTM","Upper middle income",1,63,1.475,0,1.572,0,-0.566,-16.763
"Guinea","GIN","Low income",1,64,-0.302,0,-0.245,0,8.832,-10.726
"Guinea-Bissau","GNB","Low income",1,65,-0.237,0,-0.179,0,-48.752,-12.232
"Guyana","GUY","Upper middle income",1,66,-3.404,0,-2.78,0,15.671,-9.808
"Haiti","HTI","Low income",1,67,2.813,0,2.594,0,6.409,-14.007
"Honduras","HND","Lower middle income",1,68,1.651,0,1.321,0,2.566,-9.608
"Hungary","HUN","High income",0,69,1.238,-2.213,1.167,-2.117,-0.9,-66.647
"Iceland","ISL","High income",0,70,0,-0.576,0,-0.622,0,-35.712
"India","IND","Lower middle income",1,71,0.377,0.001,0.221,0.002,0.016,-11.306
"Indonesia","IDN","Lower middle income",1,72,0.841,0,0.804,0,10.119,-12.398
"Iran (Islamic Republic of)","IRN","Upper middle income",1,73,0.428,-0.542,0.391,-0.498,-0.219,-8.208
"Iraq","IRQ","Upper middle income",1,74,-0.684,-0.153,-0.677,-0.15,-4.078,-10.919
"Ireland","IRL","High income",0,75,-0.012,0.629,-0.012,0.595,0,-40.65
"Israel","ISR","High income",0,76,2.092,0.024,2.371,0.019,0.313,-11.779
"Italy","ITA","High income",0,77,1.901,-0.537,1.84,-0.485,0.038,-28.069
"Jamaica","JAM","Upper middle income",1,78,3.094,0,2.991,0,14.351,-8.842
"Japan","JPN","High income",0,79,-0.83,-1.005,-0.772,-0.92,-0.065,-32.445
"Jordan","JOR","Upper middle income",1,80,0.647,0.03,0.586,0.027,0.746,-30.918
"Kazakhstan","KAZ","Upper middle income",1,81,-0.44,0.113,-0.447,-0.342,-16.239,-28.515
"Kenya","KEN","Lower middle income",1,82,1.557,0,1.193,0,6.725,-39.902
"Kiribati","KIR","Lower middle income",1,83,17.074,0,17.079,0,35.821,-29.495
"Kuwait","KWT","High income",0,84,-0.368,-0.185,-0.378,-0.201,-8.73,-11.479
"Lao People's Democratic Republic","LAO","Lower middle income",1,85,2.184,0.002,2.051,0.001,3.548,-39.038
